header	date
hCoV-19/USA/PA-CDC-QDX26075947/2021|EPI_ISL_2868868.1|2021-06-19	2021-06-19
hCoV-19/USA/PA-CDC-QDX26075943/2021|EPI_ISL_2868707.1|2021-06-18	2021-06-18
hCoV-19/USA/MD-IGS-52129205180A/2021|EPI_ISL_6437509.1|2021-10-19	2021-10-19
hCoV-19/USA/MD-IGS-52129201867A/2021|EPI_ISL_6437503.1|2021-10-19	2021-10-19
hCoV-19/USA/MD-IGS-012129102433A/2021|EPI_ISL_6437401.1|2021-10-18	2021-10-18
hCoV-19/USA/MD-IGS-012128401673A/2021|EPI_ISL_6437377.1|2021-10-11	2021-10-11
hCoV-19/USA/PA-CDC-LC0084471/2021|EPI_ISL_4380897.1|2021-06-21	2021-06-21
hCoV-19/USA/PA-Curative-001488/2021|EPI_ISL_2839683.1|2021-06-17	2021-06-17
hCoV-19/USA/MD-IGS-012127402709A/2021|EPI_ISL_6469972.1|2021-10-01	2021-10-01
hCoV-19/USA/MD-IGS-122129000356A/2021|EPI_ISL_6494560.1|2021-10-17	2021-10-17
hCoV-19/USA/PA-Curative-058497/2021|EPI_ISL_2783736.1|2021-05-17	2021-05-17
hCoV-19/USA/NY-URMC-21095090-1/2021|EPI_ISL_12134949.1|2021-09-24	2021-09-24
hCoV-19/USA/WV-VTVAS3-GSC31297/2021|EPI_ISL_12134326.1|2021-12-27	2021-12-27
hCoV-19/USA/PA-CDC-ASC210037349/2021|EPI_ISL_2148548.1|2021-04-30	2021-04-30
hCoV-19/USA/PA-CDC-STM-000065755/2021|EPI_ISL_2187341.1|2021-04-29	2021-04-29
hCoV-19/USA/DE-B1109559/2021|EPI_ISL_14488032.1|2021-07-09	2021-07-09
hCoV-19/USA/PA-CDC-QDX25704329/2021|EPI_ISL_2652345.1|2021-06-07	2021-06-07
hCoV-19/USA/PA-CDC-MMB08870536/2021|EPI_ISL_2647116.1|2021-05-19	2021-05-19
hCoV-19/USA/NY-NYCPHL-006017/2021|EPI_ISL_4298502.1|2021-08-15	2021-08-15
hCoV-19/USA/NY-NYCPHL-005677/2021|EPI_ISL_4298465.1|2021-08-13	2021-08-13
hCoV-19/USA/PA-CDC-LC0090787/2021|EPI_ISL_3017390.1|2021-06-30	2021-06-30
hCoV-19/USA/PA-CDC-QDX26445851/2021|EPI_ISL_3018216.1|2021-07-01	2021-07-01
hCoV-19/USA/NY-Wadsworth-21107540-01/2021|EPI_ISL_8318482.1|2021-12-20	2021-12-20
hCoV-19/USA/PA-CDC-ASC210631762/2021|EPI_ISL_8307985.1|2021-12-18	2021-12-18
hCoV-19/USA/PA-CDC-FG-037173/2021|EPI_ISL_2598804.1|2021-06-02	2021-06-02
hCoV-19/USA/NY-PRL-2021_1223_06G03/2021|EPI_ISL_8305794.1|2021-12-19	2021-12-19
hCoV-19/USA/PA-VSP2936/2021|EPI_ISL_2597685.1|2021-05-15	2021-05-15
hCoV-19/USA/PA-CDC-MMB08759560/2021|EPI_ISL_2525301.1|2021-05-11	2021-05-11
hCoV-19/USA/PA-CDC-LC0066285/2021|EPI_ISL_2480952.1|2021-05-26	2021-05-26
hCoV-19/USA/PA-CDC-LC0063060/2021|EPI_ISL_2398561.1|2021-05-22	2021-05-22
hCoV-19/USA/PA-CDC-LC0060777/2021|EPI_ISL_2306323.1|2021-05-12	2021-05-12
hCoV-19/USA/PA-CDC-LC0064934/2021|EPI_ISL_2397840.1|2021-05-18	2021-05-18
hCoV-19/USA/PA-CDC-ASC210064484/2021|EPI_ISL_2280466.1|2021-05-16	2021-05-16
hCoV-19/USA/PA-VSP2955/2021|EPI_ISL_2597700.1|2021-05-24	2021-05-24
hCoV-19/USA/PA-CDC-STM-000069308/2021|EPI_ISL_2247575.1|2021-05-04	2021-05-04
hCoV-19/USA/WV-WVU-WV128443/2021|EPI_ISL_8253614.1|2021-12-19	2021-12-19
hCoV-19/USA/PA-CDC-STM-000065213/2021|EPI_ISL_2145272.1|2021-04-26	2021-04-26
hCoV-19/USA/NY-NYULH2941/2021|EPI_ISL_4199095.1|2021-09-03	2021-09-03
hCoV-19/USA/NY-PRL-2021_1029_01H04/2021|EPI_ISL_6261019.1|2021-10-23	2021-10-23
hCoV-19/USA/NY-URMC-21094006-1/2021|EPI_ISL_10429476.1|2021-09-30	2021-09-30
hCoV-19/USA/NY-URMC-21093944-1/2021|EPI_ISL_10429420.1|2021-09-28	2021-09-28
hCoV-19/USA/NY-URMC-21093942-1/2021|EPI_ISL_10429418.1|2021-09-28	2021-09-28
hCoV-19/USA/MD-IGS-52122603505A/2021|EPI_ISL_4178802.1|2021-08-14	2021-08-14
hCoV-19/USA/MD-IGS-52121903020A/2021|EPI_ISL_4178558.1|2021-08-07	2021-08-07
hCoV-19/USA/MD-IGS-012121804476A/2021|EPI_ISL_4178469.1|2021-08-06	2021-08-06
hCoV-19/USA/MD-IGS-52121808951A/2021|EPI_ISL_3919991.1|2021-08-06	2021-08-06
hCoV-19/USA/PA-CDC-STM-000063107/2021|EPI_ISL_2097858.1|2021-04-23	2021-04-23
hCoV-19/USA/PA-CDC-QDX24236360/2021|EPI_ISL_2047258.1|2021-04-25	2021-04-25
hCoV-19/USA/MD-IGS-52127503381A/2021|EPI_ISL_6228546.1|2021-10-02	2021-10-02
hCoV-19/USA/DE-DHSS-B1157482/2021|EPI_ISL_14311954.1|2021-12-05	2021-12-05
hCoV-19/USA/NJ-PHEL-V21027882/2021|EPI_ISL_6690458.1|2021-10-29	2021-10-29
hCoV-19/Australia/VIC-SOL060/2022|EPI_ISL_17880881.1|2022-03-05	2022-03-05
hCoV-19/Australia/VIC-SOL059/2022|EPI_ISL_17880880.1|2022-03-05	2022-03-05
hCoV-19/Australia/VIC-SOL058/2022|EPI_ISL_17880879.1|2022-03-05	2022-03-05
hCoV-19/USA/NY-URMC-L3S1G349-1/2021|EPI_ISL_17783662.1|2021-09-27	2021-09-27
hCoV-19/USA/NY-URMC-L3S1G037-1/2021|EPI_ISL_17660543.1|2021-09-23	2021-09-23
hCoV-19/USA/PA-CDC-STM-000060324/2021|EPI_ISL_1990614.1|2021-04-20	2021-04-20
hCoV-19/USA/PA-CDC-ASC210109668/2021|EPI_ISL_4361218.1|2021-06-15	2021-06-15
hCoV-19/USA/NY-URMC-L3S1F679-1/2021|EPI_ISL_17586170.1|2021-09-15	2021-09-15
hCoV-19/USA/NY-SUNYQB-61210353808979/2021|EPI_ISL_8178260.1|2021-11-22	2021-11-22
hCoV-19/USA/NY-SUNYQB-61210401416611/2021|EPI_ISL_8178083.1|2021-11-23	2021-11-23
hCoV-19/USA/NY-SUNYQB-55210211306131/2021|EPI_ISL_8178093.1|2021-11-10	2021-11-10
hCoV-19/USA/NY-SUNYQB-61210452604670/2021|EPI_ISL_8177830.1|2021-11-30	2021-11-30
hCoV-19/USA/PA-VSP2872/2021|EPI_ISL_3023151.1|2021-05-10	2021-05-10
hCoV-19/USA/PA-UPENN-5183/2021|EPI_ISL_17534210.1|2021-07-04	2021-07-04
hCoV-19/USA/PA-CDC-STM-000057880/2021|EPI_ISL_1924031.1|2021-04-17	2021-04-17
hCoV-19/USA/PA-CDC-STM-000057838/2021|EPI_ISL_1924007.1|2021-04-15	2021-04-15
hCoV-19/USA/PA-CDC-STM-000058904/2021|EPI_ISL_1923362.1|2021-04-16	2021-04-16
hCoV-19/USA/NY-PRL-2021_0828_04B19/2021|EPI_ISL_3943262.1|2021-08-27	2021-08-27
hCoV-19/USA/NY-PRL-2021_0828_02C14/2021|EPI_ISL_3943044.1|2021-08-25	2021-08-25
hCoV-19/USA/PA-Jefferson_COVIDSeq16_21/2021|EPI_ISL_3941338.1|2021-06-26	2021-06-26
hCoV-19/USA/PA-Jefferson_COVIDSeq14_27/2021|EPI_ISL_3941291.1|2021-06-22	2021-06-22
hCoV-19/USA/NY-URMC-21070632-1/2021|EPI_ISL_3939949.1|2021-07-26	2021-07-26
hCoV-19/USA/DE-DHSS-B1157319/2021|EPI_ISL_7708314.1|2021-11-19	2021-11-19
